Title,IMDb Rating,Year,Certificates,Genre,Director,Star Cast,MetaScore,Poster-src,Duration (minutes),embedding_text,Generated_Plot
End of the Spear,6.8,2005,PG-13,Adventure,Jim Hanon,Louie LeonardoChad AllenJack Guzman,45.0,"https://m.media-amazon.com/images/M/MV5BMTYxOTU0NDUzMV5BMl5BanBnXkFtZTcwNDgzMTczMQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",108.0,Title: End of the Spear; Genre: Adventure; Director: Jim Hanon; Cast: Louie LeonardoChad AllenJack Guzman,"In the remote Amazon, a clash of cultures erupts when a group of peaceful Waorani Indians encounters a team of Christian missionaries.  Initial distrust quickly escalates into violent conflict, leaving the missionaries dead and sparking a dramatic quest for justice.  A young Waorani man, however, embarks on a perilous journey of reconciliation, wrestling with his tribe's traditions and the profound message of forgiveness.  His path tests the limits of his faith and forces a confrontation with his own past.  The film explores the enduring power of compassion amidst profound loss and cultural misunderstanding."
Elvira Madigan,7.0,1967,PG,Biography,Bo Widerberg,Pia DegermarkThommy BerggrenLennart Malmer,66.0,"https://m.media-amazon.com/images/M/MV5BMmY2NjA5MTktYTAxOS00M2Q2LWE3OGEtMjQ0Y2UxNTE2OGE1XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_QL75_UY281_CR7,0,190,281_.jpg",91.0,Title: Elvira Madigan; Genre: Biography; Director: Bo Widerberg; Cast: Pia DegermarkThommy BerggrenLennart Malmer,"Elvira Madigan tells the tragic love story of a young, idealistic tightrope walker and a charismatic cavalry officer.  Their passionate but doomed romance unfolds against the backdrop of late 19th-century Sweden, defying societal expectations and leading them down a path of desperate measures.  Haunted by poverty and societal pressures, their love becomes a desperate gamble against insurmountable odds.  Ultimately, their choice to prioritize their passionate love story leads to a heartbreaking and unforgettable climax."
The Kid Stays in the Picture,7.3,2002,R,Documentary,Nanette Burstein,Robert EvansEddie AlbertPeter Bart,75.0,"https://m.media-amazon.com/images/M/MV5BZjhiZmI4NjgtZjhiNC00MGNhLTg4YWMtOWIwYzJhMjc2Yjk1XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,1,190,281_.jpg",93.0,Title: The Kid Stays in the Picture; Genre: Documentary; Director: Nanette Burstein; Cast: Robert EvansEddie AlbertPeter Bart,"This documentary chronicles the extraordinary, rollercoaster life of Robert Evans, a Hollywood legend.  From his humble beginnings to his reign as a powerful studio executive, the film explores his tumultuous romances, high-stakes business dealings, and brushes with both immense success and devastating failure.  Evans recounts his story with unflinching honesty, revealing a life as dramatic and unpredictable as any movie he ever produced.  The result is a captivating portrait of ambition, excess, and the enduring allure of Hollywood."
It Ain't Over,8.2,2022,PG,Documentary,Sean Mullin,Andy AndresRoger AngellMarty Appel,79.0,"https://m.media-amazon.com/images/M/MV5BZWViYWYzOGYtNzUwMC00N2QwLWIzMTktN2I3ODU3N2UyNDIwXkEyXkFqcGdeQXVyMTQyODg5MjQw._V1_QL75_UX190_CR0,0,190,281_.jpg",99.0,Title: It Ain't Over; Genre: Documentary; Director: Sean Mullin; Cast: Andy AndresRoger AngellMarty Appel,"""It Ain't Over"" chronicles the remarkable resilience of baseball's legendary broadcaster, Vin Scully.  The film explores his enduring legacy, tracing his unparalleled career and the profound impact he had on generations of fans. Through intimate interviews and archival footage,  we witness the man behind the iconic voice, revealing a life both deeply personal and profoundly connected to the national pastime.  A celebration of a beloved figure, this documentary reveals the lasting power of a voice that became a soundtrack to American summers."
Mahler,7.0,1974,PG,Biography,Ken Russell,Robert PowellGeorgina HaleLee Montague,66.0,"https://m.media-amazon.com/images/M/MV5BYzY4MzQ3ZWMtMDM5ZC00ODcxLWEwMDgtZWYzMTJlMGRlZmU1XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_QL75_UX190_CR0,2,190,281_.jpg",115.0,Title: Mahler; Genre: Biography; Director: Ken Russell; Cast: Robert PowellGeorgina HaleLee Montague,"A turbulent and visually stunning biopic explores the life and career of the tormented composer Gustav Mahler.  From his humble beginnings to his rise as a celebrated conductor, the film charts his passionate relationships, artistic struggles, and the complex interplay between his personal demons and creative genius.  His intense emotional life and revolutionary musical style are explored through a highly stylized and dramatic lens.  Facing constant criticism and personal turmoil, Mahler relentlessly pursues his artistic vision."
The Dark Horse,7.4,2014,R,Biography,James Napier Robertson,Cliff CurtisJames RollestonKirk Torrance,77.0,"https://m.media-amazon.com/images/M/MV5BMjQzNjIxOTI4OF5BMl5BanBnXkFtZTgwMzQwNTg5NzE@._V1_QL75_UY281_CR0,0,190,281_.jpg",124.0,Title: The Dark Horse; Genre: Biography; Director: James Napier Robertson; Cast: Cliff CurtisJames RollestonKirk Torrance,"A troubled but brilliant chess player, haunted by past demons, finds redemption by unexpectedly mentoring at-risk youth.  He uses the intricate strategies of chess to instill discipline and hope in a group of young Māori boys.  Their unlikely bond blossoms as they overcome personal challenges and find unexpected success in national competitions.  The film explores themes of redemption, resilience, and the transformative power of mentorship.  Ultimately, it’s a story of second chances and the unexpected paths to self-discovery."
Stephen Curry: Underrated,7.3,2023,PG-13,Documentary,Peter Nicks,Stephen CurryBob McKillopJason Richards,69.0,"https://m.media-amazon.com/images/M/MV5BOTNhZWEzZWYtMDE3ZS00ZTBmLTg4ZTktZTE4ZmI3ZjBkYjQ5XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX190_CR0,2,190,281_.jpg",110.0,Title: Stephen Curry: Underrated; Genre: Documentary; Director: Peter Nicks; Cast: Stephen CurryBob McKillopJason Richards,"This intimate documentary chronicles the improbable rise of Stephen Curry, defying expectations and doubters at every stage of his journey.  From overlooked college prospect to global basketball icon, the film explores his unwavering dedication, unique playing style, and the unwavering support system that fueled his success.  Through rare archival footage and candid interviews, ""Underrated"" reveals the heart and grit behind the legendary sharpshooter.  It's a story of perseverance, proving that talent alone isn't enough – belief in oneself is the ultimate game-changer."
Carrington,6.8,1995,R,Biography,Christopher Hampton,Emma ThompsonJonathan PryceSteven Waddington,66.0,"https://m.media-amazon.com/images/M/MV5BZjQ3MTBkNDEtMGRlZS00OTY0LTkzYjktOWU2MzI3ZDRiMjY5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX190_CR0,2,190,281_.jpg",121.0,Title: Carrington; Genre: Biography; Director: Christopher Hampton; Cast: Emma ThompsonJonathan PryceSteven Waddington,"Carrington chronicles the passionate yet tumultuous relationship between the eccentric painter Dora Carrington and the charismatic writer Lytton Strachey.  Their unconventional love affair, set against the backdrop of post-war Bloomsbury society, is tested by societal expectations and personal tragedy.  Dora’s vibrant artistic spirit and independent nature clash with Lytton’s emotional complexities, leading to a heartbreaking journey of love, loss, and artistic self-discovery.  Ultimately, the film explores the enduring power of their connection despite its inherent challenges."
Burden,6.7,2018,R,Biography,Andrew Heckler,Garrett HedlundAndrea RiseboroughForest Whitaker,57.0,"https://m.media-amazon.com/images/M/MV5BMTlhNzVmNTktMDRjZi00MTllLWFlNmEtZDhlNmI0MTQxZTU3XkEyXkFqcGdeQXVyOTIxNTAyMzU@._V1_QL75_UX190_CR0,2,190,281_.jpg",117.0,Title: Burden; Genre: Biography; Director: Andrew Heckler; Cast: Garrett HedlundAndrea RiseboroughForest Whitaker,"Burden tells the true story of a man deeply entrenched in the Ku Klux Klan, whose life takes a dramatic turn when he unexpectedly finds redemption.  Confronted with the horrifying consequences of his past, he must grapple with his ingrained prejudices and the weight of his actions.  His journey to atone for his sins is fraught with peril and opposition, forcing him to confront both external and internal battles.  Ultimately, he makes a courageous choice that will forever alter his life and the lives of those around him."
Georgetown,6.2,2019,R,Biography,Christoph Waltz,Christoph WaltzVanessa RedgraveAnnette Bening,49.0,"https://m.media-amazon.com/images/M/MV5BMmZlMzQ5N2MtMWI0ZS00MzMxLWE1MjYtZDUwZGNjYjYzZmYyXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_QL75_UX190_CR0,2,190,281_.jpg",99.0,Title: Georgetown; Genre: Biography; Director: Christoph Waltz; Cast: Christoph WaltzVanessa RedgraveAnnette Bening,"Georgetown follows the enigmatic Ulrich Mott, a charming yet manipulative social climber who ensnares the wealthy and influential Elsa Brecht.  Their unconventional relationship blossoms amidst the glittering backdrop of Washington D.C. society, but dark secrets and simmering tensions threaten to unravel their carefully constructed lives.  A shocking death exposes Ulrich's web of deceit, forcing him to confront the consequences of his ambition.  The film unravels the truth behind a seemingly perfect façade, leaving the audience questioning the nature of love, power, and justice."
Miles Ahead,6.4,2015,R,Biography,Don Cheadle,Steven BaigelmanDon CheadleStephen J. Rivele,64.0,"https://m.media-amazon.com/images/M/MV5BYTU5NDRjNmItZGZlMi00ZjJiLTk5YzAtZmY1ZDc4ZGZhMjFhXkEyXkFqcGdeQXVyNTM0OTY0NTI@._V1_QL75_UX190_CR0,0,190,281_.jpg",100.0,Title: Miles Ahead; Genre: Biography; Director: Don Cheadle; Cast: Steven BaigelmanDon CheadleStephen J. Rivele,"Miles Ahead plunges into the turbulent life of jazz legend Miles Davis.  The film blends fact and fiction, weaving together a fragmented narrative of his creative genius and personal struggles.  A journalist's intrusive investigation inadvertently unravels a complex story of betrayal, artistic rebirth, and the pressures of fame.  Through thrilling musical sequences and intense dramatic moments, the film explores the man behind the iconic trumpet."
The King of Kong: A Fistful of Quarters,8.0,2007,PG-13,Documentary,Seth Gordon,Steve WiebeBilly MitchellMark Alpiger,83.0,"https://m.media-amazon.com/images/M/MV5BMzIwMmIwNzEtODhhOS00ZjFjLWI1OGMtNjBiMDFkMTgzZTY2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,0,190,281_.jpg",79.0,Title: The King of Kong: A Fistful of Quarters; Genre: Documentary; Director: Seth Gordon; Cast: Steve WiebeBilly MitchellMark Alpiger,"This documentary follows the intense rivalry between two determined gamers vying for the world record in Donkey Kong.  Their quest for the coveted title becomes an epic battle of skill, strategy, and relentless dedication.  The film explores the obsessive world of competitive video gaming and the human drama behind the high scores.  Ultimately, it's a story about ambition, perseverance, and the surprisingly profound impact of a simple arcade game."
The Devil's Violinist,6.0,2013,R,Biography,Bernard Rose,David GarrettJared HarrisJoely Richardson,38.0,"https://m.media-amazon.com/images/M/MV5BNTQ1MjUzMTY0Nl5BMl5BanBnXkFtZTgwNjAwNDM1MDE@._V1_QL75_UY281_CR5,0,190,281_.jpg",122.0,Title: The Devil's Violinist; Genre: Biography; Director: Bernard Rose; Cast: David GarrettJared HarrisJoely Richardson,"A prodigious young violinist, driven by ambition and a relentless pursuit of perfection, scales the heights of the classical music world.  However, his meteoric rise is shadowed by a dark side, fueled by a fiercely competitive spirit and a troubled personal life.  He battles inner demons as much as external rivals, jeopardizing his career and relationships in the process.  This biographical drama explores the sacrifices and complexities of achieving virtuosity, revealing the price of genius.  The film charts his journey from child prodigy to international superstar, exposing the hidden costs of his success."
A Tale of Love and Darkness,6.0,2015,PG-13,Biography,Natalie Portman,Natalie PortmanGilad KahanaAmir Tessler,55.0,"https://m.media-amazon.com/images/M/MV5BMjIyNzk2MTY0Ml5BMl5BanBnXkFtZTgwMzExNTA2OTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",95.0,Title: A Tale of Love and Darkness; Genre: Biography; Director: Natalie Portman; Cast: Natalie PortmanGilad KahanaAmir Tessler,"A Tale of Love and Darkness chronicles the turbulent childhood of a young boy growing up in Jerusalem during a time of intense political upheaval.  His experiences are framed by his deeply loving but troubled relationship with his mother, a woman struggling with mental illness.  The film explores themes of family, identity, and the complexities of navigating a fractured world.  Through poignant memories and vivid imagery, the boy's journey unveils the powerful forces shaping his life and the birth of his own literary voice.  Ultimately, it's a moving portrait of love, loss, and the enduring strength of the human spirit."
